referencia,nombre,categoria,precio,stock,costo
WH4941067,CREMONA PRACT. E-25.5 C.VAR. 510-800 (GAM.800.D25),CREMONAS,11767,6,0
WH4941081,CREMONA PRACT. E-25.5 C.VAR. 710-1050 (GAM.1050-1.D25),CREMONAS,15758,6,0
WH4927159,CREMONA PRACT. E-25.5 C.VAR. 900-1400 (GAM.1400-1),CREMONAS,17952,6,0
WH4969400,CREMONA PRACT. E-7.5 C.VAR. 1300-1899 (GAM.1800-2 D7.5),CREMONAS,7611,6,0
WH4969289,CREMONA PRACT. E-7.5 C.VAR. 1800-2300 (GAM.2300-3 D7.5),CREMONAS,9773,6,0
WH4969404,CREMONA PRACT. E-7.5 C.VAR. 575-800 (GAM.800 D7.5),CREMONAS,5425,6,0
WH4969403,CREMONA PRACT. E-7.5 C.VAR. 710-1050 (GAM.1050-1 D7.5),CREMONAS,6055,6,0
WH4969402,CREMONA PRACT. E-7.5 C.VAR. 900-1400 (GAM.1400-1 D7.5),CREMONAS,6103,6,0
WH2795775,CREMONA PRACTICABLE (GVMG-UK1000/3 D22-9 SL),CREMONAS,12026,6,0
WH2795732,CREMONA PRACTICABLE (GVMG-UK350/2 D22-9 SL),CREMONAS,7836,6,0
WH2795759,CREMONA PRACTICABLE (GVMG-UK600/2 D22-9 SL),CREMONAS,7053,6,0
WH2795767,CREMONA PRACTICABLE (GVMG-UK800/2 D22-9 SL),CREMONAS,7895,6,0
WH5019146,ANGULAR E1.N,ANGULARES - BRAZO DE COMPAS,2019,6,0
WH5019147,ANGULAR E2.N,ANGULARES - BRAZO DE COMPAS,2019,6,0
WH4993654,ANGULAR E3.F,ANGULARES - BRAZO DE COMPAS,2140,6,0
WH4942841,BISAGRA ABATIBLE (KB.K.20-13.P),ANGULARES - BRAZO DE COMPAS,2742,6,0
WH4928109,BISAGRA ABATIBLE (KB.K.20-9),ANGULARES - BRAZO DE COMPAS,2742,6,0
WH1898617,BISAGRA AL CANTO (FK-F 20-6/20SL),ANGULARES - BRAZO DE COMPAS,1688,6,0
WH2359324,BISAGRA OCULTA HOJA (ZV-FT SL),ANGULARES - BRAZO DE COMPAS,2382,6,0
WH1975344,BISAGRA OCULTA MARCO (ZV-RT 105 SL),ANGULARES - BRAZO DE COMPAS,332,6,0
WH2020081,BISAGRA OCULTA MARCO (ZV-RT 144 SL),ANGULARES - BRAZO DE COMPAS,332,6,0
WH2074732,BISAGRA OCULTA MARCO (ZV-RT 452/13 SL),ANGULARES - BRAZO DE COMPAS,332,6,0
WH1975336,BISAGRA OCULTA MARCO (ZV-RT 60 SL),ANGULARES - BRAZO DE COMPAS,332,6,0
WH4998779,BRAZO DE COMPAS CANAL 13 DERECHO <= 600 (SK 1.20-13 R),ANGULARES - BRAZO DE COMPAS,5049,6,0
WH4998813,BRAZO DE COMPAS CANAL 13 DERECHO >= 600 (SK 2.20-13 R),ANGULARES - BRAZO DE COMPAS,5049,6,0
WH4998778,BRAZO DE COMPAS CANAL 13 IZQUIERDO <= 600 (SK 1.20-13 1),ANGULARES - BRAZO DE COMPAS,5049,6,0
